course_id,course_code,dept_code,session,year_level,timeslot_id,student_count
BBA403,BBA-403,BBA,2022-23,4,TS01,16
BBA404,BBA-404,BBA,2022-23,4,TS05,15
BBA301,BBA-301,BBA,2023-24,3,TS12,15
BBA302,BBA-302,BBA,2023-24,3,TS08,17
BBA303,BBA-303,BBA,2023-24,3,TS11,15
BBA304,BBA-304,BBA,2023-24,3,TS09,16
BBA201,BBA-201,BBA,2024-25,2,TS02,16
BBA202,BBA-202,BBA,2024-25,2,TS07,16
BBA203,BBA-203,BBA,2024-25,2,TS04,16
BBA204,BBA-204,BBA,2024-25,2,TS03,15
BBA101,BBA-101,BBA,2025-26,1,TS05,16
BBA102,BBA-102,BBA,2025-26,1,TS06,15
BBA103,BBA-103,BBA,2025-26,1,TS04,16
BBA104,BBA-104,BBA,2025-26,1,TS03,16
ENG501,ENG-501,ENG,2021-22,5,TS04,16
ENG502,ENG-502,ENG,2021-22,5,TS06,16
ENG503,ENG-503,ENG,2021-22,5,TS08,15
ENG504,ENG-504,ENG,2021-22,5,TS02,16
ENG401,ENG-401,ENG,2022-23,4,TS05,15
ENG402,ENG-402,ENG,2022-23,4,TS04,15
ENG403,ENG-403,ENG,2022-23,4,TS03,15
ENG404,ENG-404,ENG,2022-23,4,TS01,16
ENG301,ENG-301,ENG,2023-24,3,TS09,16
ENG302,ENG-302,ENG,2023-24,3,TS12,15
ENG303,ENG-303,ENG,2023-24,3,TS11,15
ENG304,ENG-304,ENG,2023-24,3,TS10,15
ENG201,ENG-201,ENG,2024-25,2,TS03,17
ENG202,ENG-202,ENG,2024-25,2,TS07,15
ENG203,ENG-203,ENG,2024-25,2,TS06,15
ENG204,ENG-204,ENG,2024-25,2,TS01,17
ENG101,ENG-101,ENG,2025-26,1,TS05,15
ENG102,ENG-102,ENG,2025-26,1,TS04,15
ENG103,ENG-103,ENG,2025-26,1,TS03,16
ENG104,ENG-104,ENG,2025-26,1,TS02,18
MAT501,MAT-501,MAT,2021-22,5,TS01,17
MAT502,MAT-502,MAT,2021-22,5,TS07,16
MAT503,MAT-503,MAT,2021-22,5,TS09,16
MAT504,MAT-504,MAT,2021-22,5,TS10,15
MAT401,MAT-401,MAT,2022-23,4,TS06,15
MAT402,MAT-402,MAT,2022-23,4,TS05,15
MAT403,MAT-403,MAT,2022-23,4,TS04,15
MAT404,MAT-404,MAT,2022-23,4,TS01,17
MAT301,MAT-301,MAT,2023-24,3,TS08,16
MAT302,MAT-302,MAT,2023-24,3,TS12,15
MAT303,MAT-303,MAT,2023-24,3,TS10,16
MAT304,MAT-304,MAT,2023-24,3,TS11,15
MAT201,MAT-201,MAT,2024-25,2,TS01,17
MAT202,MAT-202,MAT,2024-25,2,TS08,15
MAT203,MAT-203,MAT,2024-25,2,TS07,15
MAT204,MAT-204,MAT,2024-25,2,TS02,15
MAT101,MAT-101,MAT,2025-26,1,TS05,15
MAT102,MAT-102,MAT,2025-26,1,TS04,15
MAT103,MAT-103,MAT,2025-26,1,TS02,15
MAT104,MAT-104,MAT,2025-26,1,TS01,17
PHY501,PHY-501,PHY,2021-22,5,TS07,16
PHY502,PHY-502,PHY,2021-22,5,TS09,16
PHY503,PHY-503,PHY,2021-22,5,TS08,16
PHY504,PHY-504,PHY,2021-22,5,TS01,16
PHY401,PHY-401,PHY,2022-23,4,TS05,16
PHY402,PHY-402,PHY,2022-23,4,TS04,16
PHY403,PHY-403,PHY,2022-23,4,TS06,15
PHY404,PHY-404,PHY,2022-23,4,TS02,17
PHY301,PHY-301,PHY,2023-24,3,TS12,15
PHY302,PHY-302,PHY,2023-24,3,TS11,15
PHY303,PHY-303,PHY,2023-24,3,TS10,17
PHY304,PHY-304,PHY,2023-24,3,TS01,17
PHY201,PHY-201,PHY,2024-25,2,TS02,17
PHY202,PHY-202,PHY,2024-25,2,TS05,16
PHY203,PHY-203,PHY,2024-25,2,TS07,15
PHY204,PHY-204,PHY,2024-25,2,TS06,16
PHY101,PHY-101,PHY,2025-26,1,TS04,16
PHY102,PHY-102,PHY,2025-26,1,TS07,15
PHY103,PHY-103,PHY,2025-26,1,TS06,15
PHY104,PHY-104,PHY,2025-26,1,TS02,16
