course_id_1,course_id_2,student_conflict_count
BBA403,PHY401,1
BBA403,PHY402,1
BBA403,PHY403,1
BBA403,PHY404,1
BBA404,EEE403,1
BBA501,BBA502,15
BBA501,BBA503,15
BBA501,BBA504,15
BBA501,CSE504,1
BBA501,MAT503,1
BBA501,PHY502,1
BBA502,BBA503,15
BBA502,BBA504,15
BBA502,CSE501,1
BBA502,CSE502,1
BBA502,CSE503,1
BBA502,CSE504,2
BBA502,MAT503,1
BBA502,PHY502,1
BBA503,BBA504,15
BBA503,CSE504,1
BBA503,MAT501,1
BBA503,MAT502,1
BBA503,MAT503,2
BBA503,MAT504,1
BBA503,PHY502,1
BBA504,CSE504,1
BBA504,MAT503,1
BBA504,PHY502,1
CSE101,CSE102,15
CSE101,CSE103,15
CSE101,CSE104,15
CSE101,ENG104,1
CSE101,PHY101,1
CSE102,CSE103,15
CSE102,CSE104,15
CSE102,ENG104,1
CSE102,PHY101,1
CSE103,CSE104,15
CSE103,EEE101,2
CSE103,EEE102,2
CSE103,EEE103,2
CSE103,EEE104,2
CSE103,ENG104,1
CSE103,PHY101,2
CSE103,PHY102,1
CSE103,PHY103,1
CSE103,PHY104,1
CSE104,ENG104,1
CSE104,PHY101,1
CSE201,CSE202,15
CSE201,CSE203,15
CSE201,CSE204,15
CSE201,EEE204,1
CSE201,ENG204,1
CSE201,MAT201,1
CSE201,MAT202,1
CSE201,MAT203,1
CSE201,MAT204,1
CSE201,PHY201,1
CSE201,PHY202,1
CSE201,PHY203,1
CSE201,PHY204,1
CSE202,CSE203,15
CSE202,CSE204,15
CSE202,EEE204,1
CSE202,ENG204,1
CSE202,MAT201,1
CSE202,MAT202,1
CSE202,MAT203,1
CSE202,MAT204,1
CSE202,PHY201,1
CSE202,PHY202,1
CSE202,PHY203,1
CSE202,PHY204,1
CSE203,CSE204,15
CSE203,EEE204,1
CSE203,ENG204,1
CSE204,EEE204,1
CSE204,ENG204,1
CSE301,CSE302,15
CSE301,CSE303,15
CSE301,CSE304,15
CSE302,CSE303,15
CSE302,CSE304,15
CSE302,ENG301,1
CSE302,ENG302,1
CSE302,ENG303,1
CSE302,ENG304,1
CSE303,CSE304,15
CSE304,MAT301,1
CSE304,MAT302,1
CSE304,MAT303,1
CSE304,MAT304,1
CSE401,CSE402,15
CSE401,CSE403,15
CSE401,CSE404,15
CSE401,EEE404,1
CSE401,MAT404,1
CSE401,PHY401,1
CSE401,PHY402,1
CSE402,CSE403,15
CSE402,CSE404,15
CSE402,EEE404,1
CSE402,MAT404,1
CSE402,PHY401,1
CSE402,PHY402,1
CSE403,CSE404,15
CSE403,EEE404,1
CSE403,MAT404,1
CSE403,PHY401,1
CSE403,PHY402,1
CSE404,EEE404,1
CSE404,ENG401,1
CSE404,ENG402,1
CSE404,ENG403,1
CSE404,ENG404,1
CSE404,MAT404,1
CSE404,PHY401,1
CSE404,PHY402,1
CSE501,CSE502,15
CSE501,CSE503,15
CSE501,CSE504,15
CSE501,EEE501,1
CSE501,ENG501,1
CSE501,ENG502,1
CSE501,ENG503,1
CSE501,ENG504,1
CSE501,MAT501,1
CSE502,CSE503,15
CSE502,CSE504,15
CSE502,EEE501,1
CSE502,MAT501,1
CSE503,CSE504,15
CSE503,EEE501,1
CSE503,MAT501,2
CSE503,MAT502,1
CSE503,MAT503,1
CSE503,MAT504,1
CSE504,EEE501,1
CSE504,MAT501,1
EEE101,EEE102,15
EEE101,EEE103,15
EEE101,EEE104,15
EEE101,PHY101,1
EEE101,PHY102,1
EEE101,PHY103,1
EEE101,PHY104,2
EEE102,EEE103,15
EEE102,EEE104,15
EEE102,PHY104,1
EEE103,EEE104,15
EEE103,PHY104,1
EEE104,PHY104,1
EEE201,EEE202,15
EEE201,EEE203,15
EEE201,EEE204,15
EEE201,MAT201,1
EEE201,PHY202,1
EEE202,EEE203,15
EEE202,EEE204,15
EEE202,MAT201,1
EEE202,PHY202,1
EEE203,EEE204,15
EEE203,ENG201,2
EEE203,ENG202,2
EEE203,ENG203,2
EEE203,ENG204,2
EEE203,MAT201,1
EEE203,PHY202,1
EEE204,ENG201,1
EEE204,ENG202,1
EEE204,ENG203,1
EEE204,ENG204,1
EEE204,MAT201,1
EEE204,PHY202,1
EEE301,EEE302,15
EEE301,EEE303,15
EEE301,EEE304,15
EEE301,PHY304,1
EEE302,EEE303,15
EEE302,EEE304,15
EEE302,PHY304,1
EEE303,EEE304,15
EEE303,PHY304,1
EEE304,MAT301,1
EEE304,MAT302,1
EEE304,MAT303,1
EEE304,MAT304,1
EEE304,PHY304,1
EEE401,EEE402,15
EEE401,EEE403,15
EEE401,EEE404,15
EEE401,MAT404,1
EEE402,EEE403,15
EEE402,EEE404,15
EEE402,MAT404,1
EEE403,EEE404,15
EEE403,MAT404,1
EEE404,MAT404,1
EEE501,EEE502,15
EEE501,EEE503,15
EEE501,EEE504,15
EEE501,ENG501,3
EEE501,ENG502,2
EEE501,ENG503,2
EEE501,ENG504,3
EEE501,PHY503,1
EEE502,EEE503,15
EEE502,EEE504,15
EEE502,ENG501,1
EEE502,ENG504,1
EEE502,PHY503,1
EEE503,EEE504,15
EEE503,ENG501,1
EEE503,ENG504,1
EEE503,PHY503,1
EEE504,ENG501,1
EEE504,ENG504,1
EEE504,PHY503,1
ENG101,ENG102,15
ENG101,ENG103,15
ENG101,ENG104,15
ENG101,MAT104,1
ENG102,ENG103,15
ENG102,ENG104,15
ENG102,MAT104,1
ENG103,ENG104,15
ENG103,MAT101,1
ENG103,MAT102,1
ENG103,MAT103,1
ENG103,MAT104,2
ENG104,MAT104,1
ENG201,ENG202,15
ENG201,ENG203,15
ENG201,ENG204,15
ENG201,PHY201,4
ENG201,PHY202,2
ENG201,PHY203,2
ENG201,PHY204,2
ENG202,ENG203,15
ENG202,ENG204,15
ENG202,PHY201,2
ENG203,ENG204,15
ENG203,PHY201,2
ENG204,PHY201,2
ENG301,ENG302,15
ENG301,ENG303,15
ENG301,ENG304,15
ENG301,MAT301,1
ENG301,PHY301,1
ENG301,PHY302,1
ENG301,PHY303,1
ENG301,PHY304,1
ENG302,ENG303,15
ENG302,ENG304,15
ENG302,MAT301,1
ENG303,ENG304,15
ENG303,MAT301,1
ENG304,MAT301,1
ENG401,ENG402,15
ENG401,ENG403,15
ENG401,ENG404,15
ENG401,PHY404,1
ENG402,ENG403,15
ENG402,ENG404,15
ENG402,PHY404,1
ENG403,ENG404,15
ENG403,PHY404,1
ENG404,PHY401,1
ENG404,PHY402,1
ENG404,PHY403,1
ENG404,PHY404,2
ENG501,ENG502,15
ENG501,ENG503,15
ENG501,ENG504,15
ENG501,MAT501,1
ENG501,MAT502,1
ENG501,PHY501,1
ENG501,PHY504,1
ENG502,ENG503,15
ENG502,ENG504,15
ENG502,MAT501,1
ENG502,MAT502,1
ENG502,PHY501,2
ENG502,PHY502,1
ENG502,PHY503,1
ENG502,PHY504,2
ENG503,ENG504,15
ENG503,MAT501,1
ENG503,MAT502,1
ENG503,PHY501,1
ENG503,PHY504,1
ENG504,MAT501,1
ENG504,MAT502,1
ENG504,PHY501,1
ENG504,PHY504,1
MAT101,MAT102,15
MAT101,MAT103,15
MAT101,MAT104,15
MAT102,MAT103,15
MAT102,MAT104,15
MAT103,MAT104,15
MAT201,MAT202,15
MAT201,MAT203,15
MAT201,MAT204,15
MAT201,PHY201,1
MAT201,PHY202,1
MAT201,PHY203,1
MAT201,PHY204,2
MAT202,MAT203,15
MAT202,MAT204,15
MAT202,PHY204,1
MAT203,MAT204,15
MAT203,PHY204,1
MAT204,PHY204,1
MAT301,MAT302,15
MAT301,MAT303,15
MAT301,MAT304,15
MAT302,MAT303,15
MAT302,MAT304,15
MAT303,MAT304,15
MAT401,MAT402,15
MAT401,MAT403,15
MAT401,MAT404,15
MAT401,PHY404,1
MAT402,MAT403,15
MAT402,MAT404,15
MAT402,PHY404,1
MAT403,MAT404,15
MAT403,PHY404,1
MAT404,PHY404,1
MAT501,MAT502,15
MAT501,MAT503,15
MAT501,MAT504,15
MAT502,MAT503,15
MAT502,MAT504,15
MAT503,MAT504,15
PHY101,PHY102,15
PHY101,PHY103,15
PHY101,PHY104,15
PHY102,PHY103,15
PHY102,PHY104,15
PHY103,PHY104,15
PHY201,PHY202,15
PHY201,PHY203,15
PHY201,PHY204,15
PHY202,PHY203,15
PHY202,PHY204,15
PHY203,PHY204,15
PHY301,PHY302,15
PHY301,PHY303,15
PHY301,PHY304,15
PHY302,PHY303,15
PHY302,PHY304,15
PHY303,PHY304,15
PHY401,PHY402,15
PHY401,PHY403,15
PHY401,PHY404,15
PHY402,PHY403,15
PHY402,PHY404,15
PHY403,PHY404,15
PHY501,PHY502,15
PHY501,PHY503,15
PHY501,PHY504,15
PHY502,PHY503,15
PHY502,PHY504,15
PHY503,PHY504,15
